Category,Price,Product URL,Product Name,ProductCode,Brand,EAN,Description,Stock_status,Delivery Time,Shipping_cost,Product_id,Condition,Bundle,Colour,Gender,Size
Klimat & värme/Luftavfuktare,9999,https://hemmy.se/klimat-o-varme/luftavfuktare/Arid-PROS8,Arida - PRO S8 | FRI frakt,ARIDAPROS08,Arida,,Arida - PRO S8 | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,6030,ny,,,,
Kök/Spisar/Induktionsspisar,62995,https://hemmy.se/kok/spisar/induktionsspisar/bertazzoni-pro95i2egit,Bertazzoni - PRO95I2EGIT | FRI hemleverans,PRO95I2EGIT,Bertazzoni,8059304882630,Bertazzoni - PRO95I2EGIT | FRI hemleverans,Ja,I lager. Leverans 1-5 dagar.,0,15641,ny,,,,
Kök/Köksfläktar/Underbyggnadsfläktar,5973,https://hemmy.se/kok/koksflaktar/underbyggnadsflaktar/cylinda-sunda-2-60-vit,Cylinda - SUNDA-2 60 VIT | FRI frakt,9004452,Cylinda,7392186308050,Cylinda - SUNDA-2 60 VIT | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,7492,ny,,,,
Tvättstuga/Torkskåp,21570,https://hemmy.se/tvattstuga/torkskap/CYLINDA-TS190ECOVPV,CYLINDA - TS 190 ECO VP V | FRI hemleverans,9205199 ,Cylinda,7330095606713,CYLINDA - TS 190 ECO VP V | FRI hemleverans,Ja,I lager. Leverans 1-5 dagar.,0,2027,ny,,,,
Trädgård/Utemöbler/Solstolar & solsängar,3995,https://hemmy.se/utemobler/Solstolar-och-solsangar/martinsen-moreno-solstol,Easy living - Moreno solstol | FRI frakt,Martinsen-10160148,Easy living,7020628970687,Easy living - Moreno solstol | FRI frakt,Nej,Beställningsvara.,0,10083,ny,,,,
Kök/Köksfläktar/Vägghängda fläktar,10871,https://hemmy.se/kok/koksflaktar/vagghangdaflaktar/franke-maris-free,FRANKE - Maris Free | FRI hemleverans,3300542181,Franke,7612985526630,FRANKE - Maris Free | FRI hemleverans,Nej,Beställningsvara.,0,9681,ny,,,,
Kök/Köksfläktar/Vägghängda fläktar,10333,https://hemmy.se/kok/koksflaktar/vagghangdaflaktar/Franke-OpalAll.764-10_60cm_RF_Lagenhet,Franke - Opal All 764-10 60cm RF Lägenhet | FRI hemleverans,1100325292,Franke,7612981244743,Franke - Opal All 764-10 60cm RF Lägenhet | FRI hemleverans,Nej,Beställningsvara.,0,1321,ny,,,,
Trädgård/Bevattning/Vattenspridare,369,https://hemmy.se/tradgard/bevattning/Vattenspridare/Hozelock-Rundspridare-Pro-314-m2-spjut,Hozelock - Rundspridare Pro 314 m2 spjut,23-2335,Hozelock,5010646042802,Hozelock - Rundspridare Pro 314 m2 spjut,Ja,I lager. Leverans 1-5 dagar.,39,5735,ny,,,,
Klimat & värme/Terrassvärmare & infravärmare/Infravärmare,12900,https://hemmy.se/klimat-o-varme/Terrass-o-infravarmare/infravarmare/Opranic-VEGA69,Opranic - VEGA69 | FRI hemleverans,VEGA69,Opranic,7350009971324,Opranic - VEGA69 | FRI hemleverans,Ja,I lager. Leverans 1-5 dagar.,0,5491,ny,,,,
Kök/Spishällar/Induktionshällar,6233,https://hemmy.se/kok/hallar/induktionshallar/Siemens-EH651FEB1E,Siemens - EH651FEB1E | FRI frakt,EH651FEB1E,Siemens,4242003716212,Siemens - EH651FEB1E | FRI frakt,Nej,2022-05-26,0,511,ny,,,,
Verktyg & maskiner/Borrmaskiner & skruvdragare/Skruvdragare,1299,https://hemmy.se/renovering-o-bygg/skruvdragare-borr/skruvdragare/Black-Decker-BDCDD186B-QW,Black & Decker - BDCDD186B-QW | FRI frakt,BDCDD186B-QW,Black and Decker,5035048641095,Black & Decker - BDCDD186B-QW | FRI frakt,Nej,Beställningsvara.,0,2732,ny,,,,
Kök/Köksfläktar/Vägghängda fläktar,3844,https://hemmy.se/kok/koksflaktar/vagghangdaflaktar/Cylinda-APOLLOTREND70RFR,Cylinda - APOLLO TREND 70 RFR | FRI frakt,9004381,Cylinda,7392186304267,Cylinda - APOLLO TREND 70 RFR | FRI frakt,Nej,2022-05-11,0,2691,ny,,,,
Kök/Ugnar/Inbyggnadsugnar,3722,https://hemmy.se/kok/ugnar/inbyggnadsugnar/cylinda-ibu-91,Cylinda - IBU 91 | FRI frakt,9001274,Cylinda,7392186307381,Cylinda - IBU 91 | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,6036,ny,,,,
Kök/Frysar/Tillbehör till frysskåp,3218,https://hemmy.se/tillbehor-till-kylskap/tillbehor-till-frysskap/cylinda-os24-7001010-vit,Cylinda - ÖS2/4 700/1010 VIT | FRI frakt,9108242,Cylinda,7330095901535,Cylinda - ÖS2/4 700/1010 VIT | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,3972,ny,,,,
Trädgård/Trädgårdsmaskiner/Lövblåsare & lövsugare,1699,https://hemmy.se/tradgard/tradgardsmaskiner/lovblasar/gardena-powerjet-18v-p4a-komplett-25ah-batteri-standardladdare,Gardena - PowerJet 18V P4A Komplett (2.5Ah batteri + standardladdare) | FRI frakt,14890-20,Gardena,4078500054324,Gardena - PowerJet 18V P4A Komplett (2.5Ah batteri + standardladdare) | FRI frakt,Nej,Beställningsvara.,0,12674,ny,,,,
Trädgård/Trädgårdsmaskiner/Lövblåsare & lövsugare,999,https://hemmy.se/tradgard/tradgardsmaskiner/lovblasar/gardena-powerjet-18v-p4a-utan-batteri,Gardena - PowerJet 18V P4A utan batteri,14890-55,Gardena,4078500054331,Gardena - PowerJet 18V P4A utan batteri,Nej,Beställningsvara.,39,12675,ny,,,,
Trädgård/Trädgårdsmaskiner/Lövblåsare & lövsugare,3999,https://hemmy.se/tradgard/tradgardsmaskiner/lovblasar/gardena-powerjet-li-40-42-ah,Gardena - PowerJet Li-40 42 Ah | FRI frakt,09338-20,Gardena,4078500031592,Gardena - PowerJet Li-40 42 Ah | FRI frakt,Nej,Beställningsvara.,0,8015,ny,,,,
Kök/Spisar/Glaskeramikspisar,5644,https://hemmy.se/kok/spisar/glaskeramikspisar/Gram-EK3600-90V,Gram - EK 3600-90 V | FRI frakt,54365,GRAM,5709708226075,Gram - EK 3600-90 V | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,1560,ny,,,,
Kök/Kylskåp/Kylskåp,4764,https://hemmy.se/kok/kyl/kylskap/gram-ks-3265-931,Gram - KS 3265-93/1 | FRI frakt,1190865,GRAM,5709708231437,Gram - KS 3265-93/1 | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,12688,ny,,,,
Grillar & utekök/Gasolgrillar,3990,https://hemmy.se/tradgard/grillar/gasolgrill/mustang-gourmet-31,Mustang - Gourmet 3+1 | FRI frakt,313561,Mustang,6410413135611,Mustang - Gourmet 3+1 | FRI frakt,Nej,Beställningsvara.,0,8038,ny,,,,
Grillar & utekök/Tillbehör till grillar,139,https://hemmy.se/grill-tillbehor/napoleon-aluminiumform-stor-5-pack,Napoleon - Aluminiumform stor 5-pack,62008NA,Napoleon,0629162620088,Napoleon - Aluminiumform stor 5-pack,Ja,I lager. Leverans 1-5 dagar.,39,9176,ny,,,,
Grillar & utekök/Tillbehör till grillar,1499,https://hemmy.se/grill-tillbehor/napoleon-overdrag-pro825,Napoleon - Överdrag PRO825 | FRI frakt,61825NA,Napoleon,0629162618252,Napoleon - Överdrag PRO825 | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,9131,ny,,,,
